TOWN_ID,PUMACE10
96,4700
172,4700
261,4700
197,4800
62,4800
89,4800
327,4800
221,4800
296,4800
55,4800
126,4800
75,4800
41,4800
224,4800
86,4800
318,4800
250,4301
246,1000
229,1000
213,1000
20,4700
36,4700
351,4800
109,4800
104,4800
300,4800
242,4800
94,4500
119,702
105,702
7,702
168,703
107,703
252,703
346,3306
160,502
342,1300
9,1300
31,1300
295,1300
51,1400
141,1400
288,1400
174,1400
286,1400
34,1400
67,1400
37,1400
2,1400
158,1400
57,3306
243,3603
163,704
196,704
291,704
71,1000
164,1000
149,701
181,701
128,701
324,702
298,702
320,702
184,702
210,702
38,702
116,702
180,702
330,501
56,501
301,501
79,501
81,501
232,501
248,3306
176,508
165,508
49,506
35,3305
201,4500
3,4301
173,4301
310,4301
334,4301
72,4301
102,4301
169,4301
30,703
166,703
92,703
144,703
254,703
205,703
206,703
259,703
258,703
189,3603
347,2800
284,2800
178,2800
305,2800
262,2800
274,507
93,507
27,4303
76,4303
245,4303
293,4303
218,4303
167,4303
182,4902
52,4902
146,4902
240,4902
118,4902
123,4902
231,4902
122,4902
219,4902
239,4903
264,4903
145,4903
82,4903
171,4903
273,4302
95,4302
40,3900
336,3900
131,3900
142,3900
65,3900
88,4901
322,4901
1,4901
83,4901
338,4901
251,4901
42,4901
73,3602
50,3602
244,3602
133,3602
220,3602
285,4000
18,4000
44,4000
48,503
157,503
23,503
155,503
308,503
26,505
10,505
344,505
314,505
207,3400
46,3400
170,504
100,504
198,504
14,2400
277,2400
177,2400
185,2400
187,2400
175,2400
136,2400
139,2400
335,3500
269,3500
315,3500
78,3500
199,3500
333,3500
317,3500
292,4200
247,4200
16,4200
211,4200
265,4200
238,4200
350,3601
25,3601
101,3601
99,3601
208,3601
307,3601
266,3601
153,301
332,301
103,301
97,301
162,301
64,303
28,303
303,303
328,303
215,303
110,303
271,303
39,303
348,300
179,304
32,304
138,304
290,304
216,304
188,304
316,304
80,304
77,304
304,304
278,304
287,304
54,304
226,304
159,1902
85,1902
120,1902
339,1902
61,1902
161,1902
281,1900
134,302
321,302
17,302
186,302
151,302
228,302
45,302
84,302
280,302
311,302
323,302
212,302
202,302
222,302
124,302
257,302
21,302
19,400
115,400
241,400
282,400
147,400
125,400
11,400
12,400
270,400
299,400
234,400
140,400
235,400
294,400
343,400
15,400
255,400
111,1600
24,1600
135,1600
191,1600
227,1600
43,1600
309,1600
275,1600
306,1600
112,1600
297,1600
256,1600
194,1600
33,1600
276,1600
87,1600
143,1600
59,1600
331,1600
214,1600
117,1600
279,1901
329,1901
5,1901
325,1901
137,1901
260,100
225,100
22,100
195,100
267,100
203,100
90,100
193,100
113,100
302,100
6,100
283,100
326,100
150,100
152,100
313,100
249,100
233,100
132,100
236,100
70,100
345,100
148,100
58,100
200,100
121,100
263,100
4,100
209,100
98,100
63,100
341,100
230,200
312,200
204,200
223,200
60,200
340,200
337,200
289,200
129,200
53,200
253,200
349,200
69,200
190,200
237,200
127,200
8,200
183,200
108,200
272,200
154,200
13,200
74,200
68,200
319,200
192,200
47,200
91,200
268,200
114,200
106,200
217,200
29,200
156,200
66,200
130,200
35,3301
35,3302
35,3303
35,3304
