muni_num,muni_id,municipal,PUMACE10,STATEFP10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,muni_caps,cnty_fips,cnty_nm,cmtyp08_id,cmtyp08,cmsbt08_id,cmsbt08,muni_name,pop,hh,puma_type
1,1,Abington,04901,25,2504901,Plymouth & Bristol Counties (Outside Brockton City) PUMA,G6120,S,299116344,6719809,+42.0365355,-071.0032765,ABINGTON,25023,Plymouth,377,Developing Suburb,387,Maturing New England Town,Abington,15985,6080,04901_377
2,2,Acton,01400,25,2501400,Middlesex (West Central) & Worcester (East) Counties PUMA,G6120,S,426638284,12692952,+42.4560743,-071.4632797,ACTON,25017,Middlesex,379,Maturing Suburb,386,Established Suburb/Cape Cod Town,Acton,21924,8187,01400_379
3,3,Acushnet,04301,25,2504301,Bristol (Outside New Bedford City) & Plymouth (South) Counties PUMA,G6120,S,685253149,119790748,+41.6837105,-070.9104126,ACUSHNET,25005,Bristol,377,Developing Suburb,387,Maturing New England Town,Acushnet,10303,3934,04301_377
4,4,Adams,00100,25,2500100,Berkshire County--Pittsfield City PUMA,G6120,S,2400595943,50708444,+42.3714930,-073.2179276,ADAMS,25003,Berkshire,377,Developing Suburb,387,Maturing New England Town,Adams,8485,3907,00100_377
5,5,Agawam,01901,25,2501901,Hampden County (West of Springfield City)--Westfield & Holyoke Cities PUMA,G6120,S,358192086,13881319,+42.1180895,-072.7081570,AGAWAM,25013,Hampden,377,Developing Suburb,387,Maturing New England Town,Agawam,28438,11664,01901_377
6,6,Alford,00100,25,2500100,Berkshire County--Pittsfield City PUMA,G6120,S,2400595943,50708444,+42.3714930,-073.2179276,ALFORD,25003,Berkshire,381,Rural Town,381,Rural Town,Alford,494,223,00100_381
7,7,Amesbury,00702,25,2500702,Essex County (Central)--Amesbury Town City PUMA,G6120,S,396273911,24253025,+42.7009380,-070.9883458,AMESBURY,25009,Essex,380,Regional Urban Center,383,Sub-Regional Urban Center,Amesbury,16283,6642,00702_380
8,8,Amherst,00200,25,2500200,Franklin & Hampshire (North) Counties PUMA,G6120,S,2438805383,75882088,+42.5346542,-072.6410670,AMHERST,25015,Hampshire,380,Regional Urban Center,383,Sub-Regional Urban Center,Amherst,37819,9259,00200_380
9,9,Andover,01300,25,2501300,"Billerica, Andover, Tewksbury & Wilmington Towns PUMA",G6120,S,243676851,6897824,+42.6061348,-071.2092474,ANDOVER,25009,Essex,377,Developing Suburb,387,Maturing New England Town,Andover,33201,11851,01300_377
10,10,Arlington,00505,25,2500505,"Middlesex County--Watertown Town City, Arlington, Belmont & Winchester Towns PUMA",G6120,S,51336717,2224756,+42.4136947,-071.1648652,ARLINGTON,25017,Middlesex,378,Inner Core,384,Streetcar Suburb,Arlington,42844,18969,00505_378
