name,alias,details
join_key,Geographic Identifier,muni_id
title,Title,Housing Tenure by Year Built
alt_title,Alternate Title,
tbl_table,Table Name,b25127_hu_tenure_year_built_units_acs_m
tbl_num,Table number from source data,b25127
geography,Spatial Geography,Municipalities
descriptn,Description,Tenure by year structure built by units in structure for occupied housing units. In 2011-15 there was a new grouping added for 2010 or later. Prior releases had 2000 or later.
datesavail,Dates Available,5yr Avg 2006-10 through 2012-16
coverage,Coverage,Statewide
universe,Universe,Occupied Housing Units
creator,Creator/Source,US Census: American Community Survey
publisher,Publisher,MAPC
contributr,Contributors,
createdate,CreationDate,
moddate,ModificationDate,2017-12
seq_id,Unique Sequence ID,null
muni_id,Municipal ID,null
municipal,Municipality,null
geoid,Census Geographic Level ID,null
logrecno,Census Logical Record Number,null
acs_year,ACS Years,null
occ_hu,Occupied Housing Units,null
occ_hum,Occupied Housing Units; Margin of Error,null
h10,Households Built 2010 or later,First appeared in 2011-15 data
h10_me,Households Built 2010 or later; Margin of Error,First appeared in 2011-15 data
h10su,Single Unit Households Built 2010 or later,First appeared in 2011-15 data
h10sum,Single Unit Households Built 2010 or later; Margin of Error,First appeared in 2011-15 data
h10mu,Multi-Unit Households Built 2010 or later,First appeared in 2011-15 data
h10mum,Multi-Unit Households Built 2010 or later; Margin of Error,First appeared in 2011-15 data
h10oth,Other Housing Types Built 2010 or later,First appeared in 2011-15 data. Other Housing Types include: Mobile home; boat; RV; van; etc.
h10othm,Other Housing Types Built 2010 or later; Margin of Error,First appeared in 2011-15 data
h0009,Households Built 2000-2009,Listed as 2000 or later prior to 2011-15
h0009m,Households Built 2000-2009; Margin of Error,Listed as 2000 or later prior to 2011-15
h0009su,Single Unit Households Built 2000-2009,Listed as 2000 or later prior to 2011-15
h0009sum,Single Unit Households Built 2000-2009; Margin of Error,Listed as 2000 or later prior to 2011-15
h0009mu,Multi-Unit Households Built 2000-2009,Listed as 2000 or later prior to 2011-15
h0009mum,Multi-Unit Households Built 2000-2009; Margin of Error,Listed as 2000 or later prior to 2011-15
h0009oth,Other Housing Types Built 2000-2009,Listed as 2000 or later prior to 2011-15. Other Housing Types include: Mobile home; boat; RV; van; etc.
h0009othm,Other Housing Types Built 2000-2009; Margin of Error,Listed as 2000 or later prior to 2011-15
h8099,Households Built 1980-1999,null
h8099m,Households Built 1980-1999; Margin of Error,null
h8099su,Single Unit Households Built 1980-1999,null
h8099sum,Single Unit Households Built 1980-1999; Margin of Error,null
h8099mu,Multi-Unit Households Built 1980-1999,null
h8099mum,Multi-Unit Households Built 1980-1999; Margin of Error,null
h8099oth,Other Housing Types Built 1980-1999. Other Housing Types include: Mobile home; boat; RV; van; etc.,null
h8099othm,Other Housing Types Built 1980-1999; Margin of Error,null
h6079,Households Built 1960-1979,null
h6079m,Households Built 1960-1979; Margin of Error,null
