"ct_id","asofyear","total","lattot","nhastot","nhaatot","nhnatot","nhpitot","nhwhitot","mlttot","origin","latori","nhasori","nhaaori","nhnaori","nhpiori","nhwhiori","mltori","denied","latden","nhasden","nhaaden","nhnaden","nhpiden","nhwhiden","mltden","lattotp","nhastotp","nhaatotp","nhnatotp","nhpitotp","nhwhitotp","mlttotp","originp","latorip","nhasorip","nhaaorip","nhnaorip","nhpiorip","nhwhiorip","mltorip","deniedp","latdenp","nhasdenp","nhaadenp","nhnadenp","nhpidenp","nhwhidenp","mltdenp"
"25001010100",2017,158,4,4,0,0,0,150,0,154,4,4,0,0,0,146,0,4,0,0,0,0,0,4,0,0.0253164556962025,0.0253164556962025,0,0,0,0.949367088607595,0,0.974683544303797,0.025974025974026,0.025974025974026,0,0,0,0.948051948051948,0,0.0253164556962025,0,0,0,0,0,1,0
"25001010206",2017,72,0,2,0,0,0,70,0,69,0,2,0,0,0,67,0,3,0,0,0,0,0,3,0,0,0.0277777777777778,0,0,0,0.972222222222222,0,0.958333333333333,0,0.0289855072463768,0,0,0,0.971014492753623,0,0.0416666666666667,0,0,0,0,0,1,0
"25001010208",2017,57,1,0,1,0,0,55,0,52,1,0,0,0,0,51,0,5,0,0,1,0,0,4,0,0.0175438596491228,0,0.0175438596491228,0,0,0.964912280701754,0,0.912280701754386,0.0192307692307692,0,0,0,0,0.980769230769231,0,0.087719298245614,0,0,0.2,0,0,0.8,0
"25001010304",2017,55,1,1,0,0,0,53,0,48,0,1,0,0,0,47,0,7,1,0,0,0,0,6,0,0.0181818181818182,0.0181818181818182,0,0,0,0.963636363636364,0,0.872727272727273,0,0.0208333333333333,0,0,0,0.979166666666667,0,0.127272727272727,0.142857142857143,0,0,0,0,0.857142857142857,0
"25001010306",2017,73,1,1,0,0,0,71,0,69,1,1,0,0,0,67,0,4,0,0,0,0,0,4,0,0.0136986301369863,0.0136986301369863,0,0,0,0.972602739726027,0,0.945205479452055,0.0144927536231884,0.0144927536231884,0,0,0,0.971014492753623,0,0.0547945205479452,0,0,0,0,0,1,0
"25001010400",2017,42,0,0,0,0,0,42,0,36,0,0,0,0,0,36,0,6,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0.857142857142857,0,0,0,0,0,1,0,0.142857142857143,0,0,0,0,0,1,0
"25001010500",2017,46,0,0,0,0,0,45,1,44,0,0,0,0,0,43,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0.978260869565217,0.0217391304347826,0.956521739130435,0,0,0,0,0,0.977272727272727,0.0227272727272727,0.0434782608695652,0,0,0,0,0,1,0
"25001010600",2017,64,1,0,0,0,0,62,1,61,1,0,0,0,0,59,1,3,0,0,0,0,0,3,0,0.015625,0,0,0,0,0.96875,0.015625,0.953125,0.0163934426229508,0,0,0,0,0.967213114754098,0.0163934426229508,0.046875,0,0,0,0,0,1,0
"25001010700",2017,109,0,2,1,0,0,106,0,104,0,2,1,0,0,101,0,5,0,0,0,0,0,5,0,0,0.018348623853211,0.00917431192660551,0,0,0.972477064220184,0,0.954128440366973,0,0.0192307692307692,0.00961538461538462,0,0,0.971153846153846,0,0.0458715596330275,0,0,0,0,0,1,0
"25001010800",2017,110,0,2,2,0,0,106,0,104,0,2,2,0,0,100,0,6,0,0,0,0,0,6,0,0,0.0181818181818182,0.0181818181818182,0,0,0.963636363636364,0,0.945454545454545,0,0.0192307692307692,0.0192307692307692,0,0,0.961538461538462,0,0.0545454545454545,0,0,0,0,0,1,0
"25001010900",2017,111,1,4,2,0,0,104,0,107,1,4,2,0,0,100,0,4,0,0,0,0,0,4,0,0.00900900900900901,0.036036036036036,0.018018018018018,0,0,0.936936936936937,0,0.963963963963964,0.00934579439252336,0.0373831775700935,0.0186915887850467,0,0,0.934579439252336,0,0.036036036036036,0,0,0,0,0,1,0
"25001011002",2017,94,2,0,1,0,0,91,0,88,1,0,1,0,0,86,0,6,1,0,0,0,0,5,0,0.0212765957446809,0,0.0106382978723404,0,0,0.968085106382979,0,0.936170212765957,0.0113636363636364,0,0.0113636363636364,0,0,0.977272727272727,0,0.0638297872340425,0.166666666666667,0,0,0,0,0.833333333333333,0
"25001011100",2017,86,0,1,2,0,0,83,0,83,0,1,1,0,0,81,0,3,0,0,1,0,0,2,0,0,0.0116279069767442,0.0232558139534884,0,0,0.965116279069767,0,0.965116279069767,0,0.0120481927710843,0.0120481927710843,0,0,0.975903614457831,0,0.0348837209302326,0,0,0.333333333333333,0,0,0.666666666666667,0
"25001011200",2017,90,1,4,0,0,0,85,0,84,1,3,0,0,0,80,0,6,0,1,0,0,0,5,0,0.0111111111111111,0.0444444444444444,0,0,0,0.944444444444444,0,0.933333333333333,0.0119047619047619,0.0357142857142857,0,0,0,0.952380952380952,0,0.0666666666666667,0,0.166666666666667,0,0,0,0.833333333333333,0
"25001011300",2017,58,0,2,2,0,0,54,0,55,0,2,2,0,0,51,0,3,0,0,0,0,0,3,0,0,0.0344827586206897,0.0344827586206897,0,0,0.931034482758621,0,0.948275862068966,0,0.0363636363636364,0.0363636363636364,0,0,0.927272727272727,0,0.0517241379310345,0,0,0,0,0,1,0
"25001011400",2017,57,0,0,0,0,0,57,0,54,0,0,0,0,0,54,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0.947368421052632,0,0,0,0,0,1,0,0.0526315789473684,0,0,0,0,0,1,0
"25001011500",2017,80,1,0,4,0,0,75,0,76,1,0,4,0,0,71,0,4,0,0,0,0,0,4,0,0.0125,0,0.05,0,0,0.9375,0,0.95,0.0131578947368421,0,0.0526315789473684,0,0,0.934210526315789,0,0.05,0,0,0,0,0,1,0
"25001011600",2017,138,1,1,2,0,0,133,1,123,1,1,2,0,0,118,1,15,0,0,0,0,0,15,0,0.0072463768115942,0.0072463768115942,0.0144927536231884,0,0,0.963768115942029,0.0072463768115942,0.891304347826087,0.00813008130081301,0.00813008130081301,0.016260162601626,0,0,0.959349593495935,0.00813008130081301,0.108695652173913,0,0,0,0,0,1,0
"25001011700",2017,63,0,0,1,0,0,62,0,57,0,0,1,0,0,56,0,6,0,0,0,0,0,6,0,0,0,0.0158730158730159,0,0,0.984126984126984,0,0.904761904761905,0,0,0.0175438596491228,0,0,0.982456140350877,0,0.0952380952380952,0,0,0,0,0,1,0
"25001011801",2017,35,0,0,0,0,0,35,0,33,0,0,0,0,0,33,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0.942857142857143,0,0,0,0,0,1,0,0.0571428571428571,0,0,0,0,0,1,0
"25001011802",2017,65,3,0,0,0,0,62,0,63,3,0,0,0,0,60,0,2,0,0,0,0,0,2,0,0.0461538461538462,0,0,0,0,0.953846153846154,0,0.969230769230769,0.0476190476190476,0,0,0,0,0.952380952380952,0,0.0307692307692308,0,0,0,0,0,1,0
